subject,list,item,input,output,study,recall,repeat,intrusion,task,category,period,category_input
21,1,BATTLESHIP,1,5,true,true,0,false,1,SHIPS,1,1
21,1,ROOT BEER,2,4,true,true,0,false,1,BEVERAGES,1,1
21,1,JOURNAL,3,2,true,true,0,false,1,READING MATERIALS,1,1
21,1,BLUEBERRY,4,n/a,true,false,0,false,1,FRUIT,1,1
21,1,GALE,5,3,true,true,0,false,1,WEATHER TERMS,1,1
21,1,SWORDFISH,6,n/a,true,false,0,false,1,FISH,1,1
21,1,ANATOMY,7,n/a,true,false,0,false,1,SCIENCES,1,1
21,1,PARISH,8,n/a,true,false,0,false,1,RELIGIOUS BUILDINGS,1,1
21,1,SWEDEN,9,6,true,true,0,false,1,COUNTRIES,1,1
21,1,DESERT,10,n/a,true,false,0,false,1,GEOGRAPHY TERMS,1,1
21,1,BACK,11,10,true,true,0,false,1,BODY PARTS,1,1
21,1,ZEBRA,12,9,true,true,0,false,1,FOUR-FOOTED ANIMALS,1,1
21,1,CLOGS,13,7,true,true,0,false,1,FOOTWEAR,1,1
21,1,TROMBONE,14,n/a,true,false,0,false,1,MUSICAL INSTRUMENTS,1,1
21,1,FOLK,15,n/a,true,false,0,false,1,MUSIC STYLES,1,1
21,1,SOFA,16,n/a,true,false,0,false,1,FURNITURE WORDS,1,1
21,1,THYME,17,n/a,true,false,0,false,1,SEASONINGS,1,1
21,1,PHILADELPHIA,18,8,true,true,0,false,1,CITIES,1,1
21,1,BOWL,19,n/a,true,false,0,false,1,KITCHEN TOOLS,1,1
21,1,SCREW,20,n/a,true,false,0,false,1,CARPENTRY TOOLS,1,1
21,1,METHANE,21,11,true,true,0,false,1,SOURCES OF FUEL,1,1
21,1,DAVE,22,n/a,true,false,0,false,1,BOY NAMES,1,1
21,1,SUBJECT,23,1,true,true,0,false,1,PARTS OF SPEECH,1,1
21,1,CAROL,24,n/a,true,false,0,false,1,GIRL NAMES,1,1
21,2,HOUSTON,1,2,true,true,0,false,3,CITIES,2,1
21,2,SKIRT,2,9,true,true,0,false,3,CLOTHES,3,1
21,2,HALLWAY,3,n/a,true,false,0,false,3,BUILDING PARTS,1,1
21,2,CLEVELAND,4,n/a,true,false,0,false,3,CITIES,2,2
21,2,PAJAMAS,5,n/a,true,false,0,false,3,CLOTHES,3,2
21,2,BATHROOM,6,n/a,true,false,0,false,3,BUILDING PARTS,1,2
21,2,NEW ORLEANS,7,6,true,true,0,false,3,CITIES,2,3
21,2,VEST,8,n/a,true,false,0,false,3,CLOTHES,3,3
21,2,ATTIC,9,n/a,true,false,0,false,3,BUILDING PARTS,1,3
21,2,SWEATER,10,11,true,true,0,false,3,CLOTHES,3,4
21,2,GREENSBORO,11,n/a,true,false,0,false,3,CITIES,2,4
21,2,WING,12,n/a,true,false,0,false,3,BUILDING PARTS,1,4
21,2,WASHINGTON D.C.,13,7,true,true,0,false,3,CITIES,2,5
21,2,JEANS,14,n/a,true,false,0,false,3,CLOTHES,3,5
21,2,ROOF,15,n/a,true,false,0,false,3,BUILDING PARTS,1,5
21,2,SLACKS,16,8,true,true,0,false,3,CLOTHES,3,6
21,2,LOS ANGELES,17,3,true,true,0,false,3,CITIES,2,6
21,2,ENTRANCE,18,1,true,true,0,false,3,BUILDING PARTS,1,6
21,2,STOCKINGS,19,n/a,true,false,0,false,3,CLOTHES,3,7
21,2,KITCHEN,20,n/a,true,false,0,false,3,BUILDING PARTS,1,7
21,2,DALLAS,21,4,true,true,0,false,3,CITIES,2,7
21,2,BASEMENT,22,n/a,true,false,0,false,3,BUILDING PARTS,1,8
21,2,TIE,23,10,true,true,0,false,3,CLOTHES,3,8
21,2,CHICAGO,24,5,true,true,0,false,3,CITIES,2,8
21,3,CHEETAH,1,1,true,true,0,false,3,FOUR-FOOTED ANIMALS,1,1
21,3,SPANDEX,2,9,true,true,0,false,3,FABRICS,2,1
21,3,LAWNMOWER,3,n/a,true,false,0,false,3,GARDEN TOOLS,3,1
21,3,LACE,4,n/a,true,false,0,false,3,FABRICS,2,2
21,3,WHEEL BARROW,5,n/a,true,false,0,false,3,GARDEN TOOLS,3,2
21,3,MOUSE,6,4,true,true,0,false,3,FOUR-FOOTED ANIMALS,1,2
21,3,TWEED,7,n/a,true,false,0,false,3,FABRICS,2,3
21,3,TROWEL,8,11,true,true,0,false,3,GARDEN TOOLS,3,3
21,3,GIRAFFE,9,3,true,true,0,false,3,FOUR-FOOTED ANIMALS,1,3
21,3,SATIN,10,n/a,true,false,0,false,3,FABRICS,2,4
21,3,ANTELOPE,11,2,true,true,0,false,3,FOUR-FOOTED ANIMALS,1,4
21,3,HOSE,12,10,true,true,0,false,3,GARDEN TOOLS,3,4
21,3,POLYESTER,13,8,true,true,0,false,3,FABRICS,2,5
21,3,SPADE,14,n/a,true,false,0,false,3,GARDEN TOOLS,3,5
21,3,RAT,15,n/a,true,false,0,false,3,FOUR-FOOTED ANIMALS,1,5
21,3,CALICO,16,n/a,true,false,0,false,3,FABRICS,2,6
21,3,TURTLE,17,n/a,true,false,0,false,3,FOUR-FOOTED ANIMALS,1,6
21,3,CLIPPERS,18,n/a,true,false,0,false,3,GARDEN TOOLS,3,6
21,3,GOAT,19,5,true,true,0,false,3,FOUR-FOOTED ANIMALS,1,7
21,3,NYLON,20,7,true,true,0,false,3,FABRICS,2,7
21,3,SEEDS,21,12,true,true,0,false,3,GARDEN TOOLS,3,7
21,3,SHEEP,22,6,true,true,0,false,3,FOUR-FOOTED ANIMALS,1,8
21,3,VELVET,23,n/a,true,false,0,false,3,FABRICS,2,8
21,3,WATERING CAN,24,n/a,true,false,0,false,3,GARDEN TOOLS,3,8
21,4,PETROL,1,n/a,true,false,0,false,1,SOURCES OF FUEL,1,1
21,4,ROMANIA,2,n/a,true,false,0,false,1,COUNTRIES,1,1
21,4,EARTH SCIENCE,3,n/a,true,false,0,false,1,SCIENCES,1,1
21,4,NIECE,4,n/a,true,false,0,false,1,RELATIVES,1,1
21,4,VALLEY,5,n/a,true,false,0,false,1,GEOGRAPHY TERMS,1,1
21,4,PASSENGER SHIP,6,7,true,true,0,false,1,SHIPS,1,1
21,4,RECLINER,7,8,true,true,0,false,1,FURNITURE WORDS,1,1
21,4,TEETH,8,6,true,true,0,false,1,BODY PARTS,1,1
21,4,TEETH,8,11,false,true,1,false,1,BODY PARTS,1,1
21,4,DETROIT,9,n/a,true,false,0,false,1,CITIES,1,1
21,4,LETTUCE,10,5,true,true,0,false,1,VEGETABLES,1,1
21,4,FINCH,11,10,true,true,0,false,1,BIRDS,1,1
21,4,TEDDY BEAR,12,n/a,true,false,0,false,1,TOYS,1,1
21,4,MONASTERY,13,n/a,true,false,0,false,1,RELIGIOUS BUILDINGS,1,1
21,4,TIDAL WAVE,14,n/a,true,false,0,false,1,WEATHER TERMS,1,1
21,4,BORON,15,n/a,true,false,0,false,1,CHEMICAL ELEMENTS,1,1
21,4,MERENGUE,16,n/a,true,false,0,false,1,DANCES,1,1
21,4,WRESTLING,17,4,true,true,0,false,1,SPORTS,1,1
21,4,BELT,18,3,true,true,0,false,1,CLOTHES,1,1
21,4,COW,19,n/a,true,false,0,false,1,FOUR-FOOTED ANIMALS,1,1
21,4,ANGELFISH,20,9,true,true,0,false,1,FISH,1,1
21,4,MILLENNIUM,21,n/a,true,false,0,false,1,UNITS OF TIME,1,1
21,4,CORVETTE,22,n/a,true,false,0,false,1,CAR MAKES,1,1
21,4,BUCKET,23,2,true,true,0,false,1,GARDEN TOOLS,1,1
21,4,DAFFODIL,24,1,true,true,0,false,1,FLOWERS,1,1
21,5,PARTICIPLE,1,n/a,true,false,0,false,3,PARTS OF SPEECH,2,1
21,5,CAPTAIN,2,n/a,true,false,0,false,3,MILITARY TITLES,1,1
21,5,MOCCASINS,3,8,true,true,0,false,3,FOOTWEAR,3,1
21,5,COLONEL,4,1,true,true,0,false,3,MILITARY TITLES,1,2
21,5,PLATFORMS,5,n/a,true,false,0,false,3,FOOTWEAR,3,2
21,5,INTERJECTION,6,6,true,true,0,false,3,PARTS OF SPEECH,2,2
21,5,ICE SKATES,7,9,true,true,0,false,3,FOOTWEAR,3,3
21,5,PRONOUN,8,n/a,true,false,0,false,3,PARTS OF SPEECH,2,3
21,5,ADMIRAL,9,2,true,true,0,false,3,MILITARY TITLES,1,3
21,5,HIGH HEELS,10,10,true,true,0,false,3,FOOTWEAR,3,4
21,5,DIRECT OBJECT,11,n/a,true,false,0,false,3,PARTS OF SPEECH,2,4
21,5,MASTER SERGEANT,12,n/a,true,false,0,false,3,MILITARY TITLES,1,4
21,5,GERUND,13,n/a,true,false,0,false,3,PARTS OF SPEECH,2,5
21,5,LOAFERS,14,n/a,true,false,0,false,3,FOOTWEAR,3,5
21,5,SECOND LIEUTENANT,15,n/a,true,false,0,false,3,MILITARY TITLES,1,5
21,5,CONJUNCTION,16,n/a,true,false,0,false,3,PARTS OF SPEECH,2,6
21,5,COMMANDER,17,4,true,true,0,false,3,MILITARY TITLES,1,6
21,5,RUNNING SHOES,18,n/a,true,false,0,false,3,FOOTWEAR,3,6
21,5,COMMODORE,19,n/a,true,false,0,false,3,MILITARY TITLES,1,7
21,5,WORD,20,5,true,true,0,false,3,PARTS OF SPEECH,2,7
21,5,FLIP FLOPS,21,7,true,true,0,false,3,FOOTWEAR,3,7
21,5,OFFICER,22,3,true,true,0,false,3,MILITARY TITLES,1,8
21,5,CLAUSE,23,n/a,true,false,0,false,3,PARTS OF SPEECH,2,8
21,5,HIKING BOOTS,24,n/a,true,false,0,false,3,FOOTWEAR,3,8
21,6,ROOM,1,5,true,true,0,false,1,BUILDING PARTS,1,1
21,6,ERA,2,n/a,true,false,0,false,1,UNITS OF TIME,1,1
21,6,RAYON,3,9,true,true,0,false,1,FABRICS,1,1
21,6,CHUCK,4,n/a,true,false,0,false,1,BOY NAMES,1,1
21,6,VIROLOGY,5,8,true,true,0,false,1,SCIENCES,1,1
21,6,EXECUTIVE,6,n/a,true,false,0,false,1,OCCUPATIONS,1,1
21,6,PERIODICAL,7,n/a,true,false,0,false,1,READING MATERIALS,1,1
21,6,USC,8,6,true,true,0,false,1,COLLEGES,1,1
21,6,MOOSE,9,n/a,true,false,0,false,1,FOUR-FOOTED ANIMALS,1,1
21,6,SPARROW,10,n/a,true,false,0,false,1,BIRDS,1,1
21,6,POND,11,7,true,true,0,false,1,GEOGRAPHY TERMS,1,1
21,6,BELGIUM,12,4,true,true,0,false,1,COUNTRIES,1,1
21,6,BLENDER,13,n/a,true,false,0,false,1,KITCHEN TOOLS,1,1
21,6,LOUISIANA,14,n/a,true,false,0,false,1,STATES,1,1
21,6,KIWI,15,n/a,true,false,0,false,1,FRUIT,1,1
21,6,PITCHFORK,16,n/a,true,false,0,false,1,GARDEN TOOLS,1,1
21,6,CYMBAL,17,10,true,true,0,false,1,MUSICAL INSTRUMENTS,1,1
21,6,POLKA,18,n/a,true,false,0,false,1,DANCES,1,1
21,6,ACURA,19,3,true,true,0,false,1,CAR MAKES,1,1
21,6,CALCIUM,20,n/a,true,false,0,false,1,CHEMICAL ELEMENTS,1,1
21,6,SCARF,21,2,true,true,0,false,1,CLOTHES,1,1
21,6,YO-YO,22,1,true,true,0,false,1,TOYS,1,1
21,6,TANKER,23,n/a,true,false,0,false,1,SHIPS,1,1
21,6,FUTON,24,n/a,true,false,0,false,1,FURNITURE WORDS,1,1
21,6,PARTICIPLE,n/a,11,false,true,0,true,1,n/a,n/a,0
21,7,EURO,1,8,true,true,0,false,2,CURRENCIES,1,1
21,7,STEPFATHER,2,2,true,true,0,false,2,RELATIVES,1,1
21,7,SUBWAY,3,n/a,true,false,0,false,2,MODES OF TRANSPORT,1,1
21,7,SISTER-IN-LAW,4,3,true,true,0,false,2,RELATIVES,1,2
21,7,BOAT,5,n/a,true,false,0,false,2,MODES OF TRANSPORT,1,2
21,7,RUBLE,6,11,true,true,0,false,2,CURRENCIES,1,2
21,7,MOTORCYCLE,7,n/a,true,false,0,false,2,MODES OF TRANSPORT,1,3
21,7,HALF SISTER,8,n/a,true,false,0,false,2,RELATIVES,1,3
21,7,LIRA,9,10,true,true,0,false,2,CURRENCIES,1,3
21,7,GRANDMOTHER,10,n/a,true,false,0,false,2,RELATIVES,1,4
21,7,FRANC,11,n/a,true,false,0,false,2,CURRENCIES,1,4
21,7,HELICOPTER,12,n/a,true,false,0,false,2,MODES OF TRANSPORT,1,4
21,7,PESO,13,12,true,true,0,false,2,CURRENCIES,1,5
21,7,JEEP,14,n/a,true,false,0,false,2,MODES OF TRANSPORT,1,5
21,7,SECOND COUSIN,15,n/a,true,false,0,false,2,RELATIVES,1,5
21,7,TAXI,16,n/a,true,false,0,false,2,MODES OF TRANSPORT,1,6
21,7,POUND,17,7,true,true,0,false,2,CURRENCIES,1,6
21,7,SON,18,5,true,true,0,false,2,RELATIVES,1,6
21,7,YEN,19,6,true,true,0,false,2,CURRENCIES,1,7
21,7,SKATEBOARD,20,1,true,true,0,false,2,MODES OF TRANSPORT,1,7
21,7,NEPHEW,21,4,true,true,0,false,2,RELATIVES,1,7
21,7,DEUTSCHMARK,22,9,true,true,0,false,2,CURRENCIES,1,8
21,7,BICYCLE,23,n/a,true,false,0,false,2,MODES OF TRANSPORT,1,8
21,7,GREAT GRANDFATHER,24,n/a,true,false,0,false,2,RELATIVES,1,8
21,8,CHA CHA,1,2,true,true,0,false,2,DANCES,1,1
21,8,THUMB,2,6,true,true,0,false,2,BODY PARTS,1,1
21,8,TONGS,3,8,true,true,0,false,2,KITCHEN TOOLS,1,1
21,8,MOUTH,4,7,true,true,0,false,2,BODY PARTS,1,2
21,8,SAMBA,5,n/a,true,false,0,false,2,DANCES,1,2
21,8,LADLE,6,10,true,true,0,false,2,KITCHEN TOOLS,1,2
21,8,MAMBO,7,4,true,true,0,false,2,DANCES,1,3
21,8,ROLLING PIN,8,n/a,true,false,0,false,2,KITCHEN TOOLS,1,3
21,8,WRIST,9,n/a,true,false,0,false,2,BODY PARTS,1,3
21,8,SALSA,10,12,true,true,0,false,2,DANCES,1,4
21,8,STRAINER,11,9,true,true,0,false,2,KITCHEN TOOLS,1,4
21,8,THIGH,12,n/a,true,false,0,false,2,BODY PARTS,1,4
21,8,BALLROOM,13,5,true,true,0,false,2,DANCES,1,5
21,8,SKILLET,14,n/a,true,false,0,false,2,KITCHEN TOOLS,1,5
21,8,HEART,15,n/a,true,false,0,false,2,BODY PARTS,1,5
21,8,MACARENA,16,11,true,true,0,false,2,DANCES,1,6
21,8,TONGUE,17,n/a,true,false,0,false,2,BODY PARTS,1,6
21,8,PRESSURE COOKER,18,n/a,true,false,0,false,2,KITCHEN TOOLS,1,6
21,8,BREAK DANCE,19,n/a,true,false,0,false,2,DANCES,1,7
21,8,ELBOW,20,n/a,true,false,0,false,2,BODY PARTS,1,7
21,8,TOASTER,21,n/a,true,false,0,false,2,KITCHEN TOOLS,1,7
21,8,HIP,22,n/a,true,false,0,false,2,BODY PARTS,1,8
21,8,LINE DANCE,23,3,true,true,0,false,2,DANCES,1,8
21,8,POTATO PEELER,24,1,true,true,0,false,2,KITCHEN TOOLS,1,8
21,9,DROUGHT,1,n/a,true,false,0,false,3,WEATHER TERMS,3,1
21,9,BILLS,2,n/a,true,false,0,false,3,FOOTBALL TEAMS,1,1
21,9,VOLVO,3,n/a,true,false,0,false,3,CAR MAKES,2,1
21,9,FROST,4,n/a,true,false,0,false,3,WEATHER TERMS,3,2
21,9,DODGE,5,n/a,true,false,0,false,3,CAR MAKES,2,2
21,9,REDSKINS,6,5,true,true,0,false,3,FOOTBALL TEAMS,1,2
21,9,LEXUS,7,n/a,true,false,0,false,3,CAR MAKES,2,3
21,9,FOG,8,n/a,true,false,0,false,3,WEATHER TERMS,3,3
21,9,BUCCANEERS,9,n/a,true,false,0,false,3,FOOTBALL TEAMS,1,3
21,9,HYUNDAI,10,n/a,true,false,0,false,3,CAR MAKES,2,4
21,9,CHARGERS,11,n/a,true,false,0,false,3,FOOTBALL TEAMS,1,4
21,9,WIND,12,n/a,true,false,0,false,3,WEATHER TERMS,3,4
21,9,VOLKSWAGEN,13,n/a,true,false,0,false,3,CAR MAKES,2,5
21,9,HAIL,14,n/a,true,false,0,false,3,WEATHER TERMS,3,5
21,9,TITANS,15,2,true,true,0,false,3,FOOTBALL TEAMS,1,5
21,9,FLOOD,16,n/a,true,false,0,false,3,WEATHER TERMS,3,6
21,9,TEXANS,17,4,true,true,0,false,3,FOOTBALL TEAMS,1,6
21,9,FERRARI,18,n/a,true,false,0,false,3,CAR MAKES,2,6
21,9,GIANTS,19,3,true,true,0,false,3,FOOTBALL TEAMS,1,7
21,9,RAIN,20,7,true,true,0,false,3,WEATHER TERMS,3,7
21,9,MAZDA,21,n/a,true,false,0,false,3,CAR MAKES,2,7
21,9,EL NINO,22,n/a,true,false,0,false,3,WEATHER TERMS,3,8
21,9,PORSCHE,23,n/a,true,false,0,false,3,CAR MAKES,2,8
21,9,SAINTS,24,1,true,true,0,false,3,FOOTBALL TEAMS,1,8
21,9,HAMMER,n/a,6,false,true,0,true,3,n/a,n/a,0
21,10,ENGINEER,1,6,true,true,0,false,1,OCCUPATIONS,1,1
21,10,RON,2,n/a,true,false,0,false,1,BOY NAMES,1,1
21,10,CHRYSLER,3,n/a,true,false,0,false,1,CAR MAKES,1,1
